connections,max_packet_size,min_packet_size,mean_packet_size,variance_packet_size,total_packets,sport,dport,protocol,mean_time_diff,total_connection_time
172.217.0.238 - 192.168.0.30,1418,0,979.1416490486258,397284.9989608349,473,443,57100,0,0.03587233515109046,16.931742191314697
192.168.0.30 - 172.217.0.238,1368,0,123.72277227722772,124583.16364887083,404,57100,443,0,0.04201262287111495,16.931087017059326
192.168.0.30 - 172.217.164.238,1368,0,38.38253968253968,23651.15549751438,630,57067,443,0,0.02838220202107877,17.852405071258545
172.217.164.238 - 192.168.0.30,1418,0,1164.7874165872258,262840.4824369251,1049,443,57067,0,0.01708280812693006,17.902782917022705
192.168.0.30 - 172.217.165.14,867,0,28.598039215686274,10531.010045397432,204,57074,443,0,0.0731542145677388,14.850305557250977
172.217.165.14 - 192.168.0.30,1418,0,1088.3881856540083,326182.5435886428,237,443,57074,0,0.06289511009798211,14.84324598312378
192.168.0.1 - 192.168.0.30,467,0,115.32203389830508,7662.237288135593,118,53,57045,1,0.7310555633316692,85.5335009098053
192.168.0.30 - 192.168.0.19,117,0,58.5,3492.091836734694,50,56130,8009,0,2.453443940804929,120.21875309944153
192.168.0.19 - 192.168.0.30,136,117,118.4074074074074,25.712250712250736,27,8009,56130,0,4.623453617095947,120.20979404449463
192.168.0.30 - 192.168.0.1,529,0,50.46666666666667,4238.318207282913,120,57045,53,1,0.7186415215500263,85.51834106445312
192.168.0.30 - 172.217.1.3,517,0,36.322274881516584,10280.676596705029,211,57072,443,0,0.06670371464320592,14.007780075073242
192.168.0.30 - 34.211.202.13,835,0,164.22222222222223,92208.69444444445,9,57112,443,0,0.04715600609779358,0.37724804878234863
172.217.1.3 - 192.168.0.30,1418,0,711.7938144329897,436553.0660755285,194,443,57072,0,0.07277778146180464,14.046111822128296
34.211.202.13 - 192.168.0.30,1448,0,555.1428571428571,413264.1428571429,7,443,57112,0,0.04837663968404134,0.29025983810424805
192.168.0.30 - 72.21.91.29,439,0,121.94444444444444,39767.82539682541,36,57079,80,0,0.5251527990613665,18.380347967147827
72.21.91.29 - 192.168.0.30,788,0,358.09090909090907,161202.3722943723,22,80,57079,0,0.8736187049320766,18.34599280357361
192.168.0.30 - 52.85.105.226,517,0,8.662790697674419,3678.283285733733,172,57114,443,0,0.0014665670562208745,0.25078296661376953
52.85.105.226 - 192.168.0.30,1448,0,1417.45703125,36752.633440563724,256,443,57114,0,0.00088348201676911,0.22528791427612305
151.101.126.110 - 192.168.0.30,58,0,12.714285714285714,532.2380952380952,7,443,56883,0,16.585301995277405,99.51181197166443
192.168.0.30 - 151.101.126.110,0,0,0.0,0.0,7,56883,443,0,16.58471429347992,99.50828576087952
192.168.0.30 - 172.217.1.174,860,0,58.610079575596814,13634.701281110687,377,57106,443,0,0.04649727395240297,17.482975006103516
192.168.0.30 - 172.217.165.1,517,0,46.48695652173913,18189.51517925248,115,57150,443,0,0.09859189443420946,11.239475965499878
172.217.1.174 - 192.168.0.30,1418,0,512.4281150159744,320902.2712582938,313,443,57106,0,0.056019538488143526,17.47809600830078
172.217.165.1 - 192.168.0.30,1418,0,394.88235294117646,337589.79551820765,85,443,57150,0,0.13426108303524198,11.277930974960327
192.168.0.30 - 172.217.1.163,435,0,167.30769230769232,46578.46153846154,26,57069,80,0,0.6334027194976807,15.835067987442017
172.217.1.163 - 192.168.0.30,705,0,440.625,124256.25,16,80,57069,0,1.0543194611867268,15.814791917800903
169.54.204.231 - 192.168.0.30,31,0,15.5,249.86,26,443,56885,0,4.810003137588501,120.25007843971252
192.168.0.30 - 169.54.204.231,35,0,17.5,318.5,26,56885,443,0,4.808053169250488,120.2013292312622
