,Unnamed: 0,layer_len,layer_type,src,dst,protocol,sport,dport,timestamp,connections
0,0,1418,<class 'scapy.layers.inet.TCP'>,172.217.0.238,192.168.0.30,tcp,443,57100,1550802957.597716,172.217.0.238 - 192.168.0.30
1,1,1418,<class 'scapy.layers.inet.TCP'>,172.217.0.238,192.168.0.30,tcp,443,57100,1550802957.597721,172.217.0.238 - 192.168.0.30
2,2,0,<class 'scapy.layers.inet.TCP'>,192.168.0.30,172.217.0.238,tcp,57100,443,1550802957.597764,192.168.0.30 - 172.217.0.238
3,3,0,<class 'scapy.layers.inet.TCP'>,192.168.0.30,172.217.0.238,tcp,57100,443,1550802957.597764,192.168.0.30 - 172.217.0.238
4,4,0,<class 'scapy.layers.inet.TCP'>,192.168.0.30,172.217.0.238,tcp,57100,443,1550802957.597764,192.168.0.30 - 172.217.0.238
5,5,0,<class 'scapy.layers.inet.TCP'>,192.168.0.30,172.217.0.238,tcp,57100,443,1550802957.597816,192.168.0.30 - 172.217.0.238
6,6,1418,<class 'scapy.layers.inet.TCP'>,172.217.0.238,192.168.0.30,tcp,443,57100,1550802957.600132,172.217.0.238 - 192.168.0.30
7,7,1418,<class 'scapy.layers.inet.TCP'>,172.217.0.238,192.168.0.30,tcp,443,57100,1550802957.600137,172.217.0.238 - 192.168.0.30
8,8,1418,<class 'scapy.layers.inet.TCP'>,172.217.0.238,192.168.0.30,tcp,443,57100,1550802957.6001382,172.217.0.238 - 192.168.0.30
9,9,0,<class 'scapy.layers.inet.TCP'>,192.168.0.30,172.217.0.238,tcp,57100,443,1550802957.600198,192.168.0.30 - 172.217.0.238
10,10,0,<class 'scapy.layers.inet.TCP'>,192.168.0.30,172.217.0.238,tcp,57100,443,1550802957.600329,192.168.0.30 - 172.217.0.238
11,11,1418,<class 'scapy.layers.inet.TCP'>,172.217.0.238,192.168.0.30,tcp,443,57100,1550802957.605486,172.217.0.238 - 192.168.0.30
12,12,1418,<class 'scapy.layers.inet.TCP'>,172.217.0.238,192.168.0.30,tcp,443,57100,1550802957.605491,172.217.0.238 - 192.168.0.30
13,13,1418,<class 'scapy.layers.inet.TCP'>,172.217.0.238,192.168.0.30,tcp,443,57100,1550802957.6054919,172.217.0.238 - 192.168.0.30
14,14,0,<class 'scapy.layers.inet.TCP'>,192.168.0.30,172.217.0.238,tcp,57100,443,1550802957.605555,192.168.0.30 - 172.217.0.238
15,15,1418,<class 'scapy.layers.inet.TCP'>,172.217.0.238,192.168.0.30,tcp,443,57100,1550802957.605715,172.217.0.238 - 192.168.0.30
16,16,1418,<class 'scapy.layers.inet.TCP'>,172.217.0.238,192.168.0.30,tcp,443,57100,1550802957.6057189,172.217.0.238 - 192.168.0.30
17,17,1418,<class 'scapy.layers.inet.TCP'>,172.217.0.238,192.168.0.30,tcp,443,57100,1550802957.6057198,172.217.0.238 - 192.168.0.30
18,18,1418,<class 'scapy.layers.inet.TCP'>,172.217.0.238,192.168.0.30,tcp,443,57100,1550802957.6057222,172.217.0.238 - 192.168.0.30
19,19,1418,<class 'scapy.layers.inet.TCP'>,172.217.0.238,192.168.0.30,tcp,443,57100,1550802957.6057231,172.217.0.238 - 192.168.0.30
20,20,0,<class 'scapy.layers.inet.TCP'>,192.168.0.30,172.217.0.238,tcp,57100,443,1550802957.605736,192.168.0.30 - 172.217.0.238
